label,frame,time,x,y,xoffset,yoffset
t1,1,00:00:00,579.0,82.0,24.0,20.0
t1,2,00:00:00,579.0,82.0,24.0,20.0
t1,3,00:00:00,583.0,83.0,24.0,20.0
t1,4,00:00:00,586.0,84.0,24.0,20.0
t1,5,00:00:00,590.0,85.0,24.0,20.0
t1,6,00:00:00,593.0,84.0,24.0,20.0
t1,7,00:00:00,595.0,84.0,24.0,20.0
t1,8,00:00:00,597.0,83.0,24.0,20.0
t1,9,00:00:00,600.0,82.0,24.0,20.0
t1,10,00:00:00,602.0,81.0,24.0,20.0
t1,11,00:00:00,603.0,80.0,24.0,20.0
t1,12,00:00:00,605.0,80.0,24.0,20.0
t1,13,00:00:00,609.0,79.0,24.0,20.0
t1,14,00:00:00,613.0,78.0,24.0,20.0
t1,15,00:00:00,614.0,78.0,24.0,20.0
t1,16,00:00:00,616.0,77.0,24.0,20.0
t1,17,00:00:00,617.0,76.0,24.0,20.0
t1,18,00:00:00,619.0,75.0,24.0,20.0
t1,19,00:00:00,621.0,75.0,24.0,20.0
t1,20,00:00:00,623.0,74.0,24.0,20.0
t1,21,00:00:00,626.0,74.0,24.0,20.0
t1,22,00:00:00,628.0,74.0,24.0,20.0
t1,23,00:00:00,629.0,73.0,24.0,20.0
t1,24,00:00:00,629.0,74.0,24.0,20.0
t1,25,00:00:00,631.0,75.0,24.0,20.0
t1,26,00:00:00,632.0,74.0,24.0,20.0
t1,27,00:00:00,633.0,73.0,24.0,20.0
t1,28,00:00:00,634.0,74.0,24.0,20.0
t1,29,00:00:00,636.0,75.0,24.0,20.0
t1,30,00:00:01,638.0,75.0,24.0,20.0
t1,31,00:00:01,639.0,76.0,24.0,20.0
t1,32,00:00:01,640.0,76.0,24.0,20.0
t1,33,00:00:01,641.0,76.0,24.0,20.0
t1,34,00:00:01,642.0,77.0,24.0,20.0
t1,35,00:00:01,642.0,77.0,24.0,20.0
t1,36,00:00:01,643.0,78.0,24.0,20.0
t1,37,00:00:01,644.0,78.0,24.0,20.0
t1,38,00:00:01,646.0,78.0,24.0,20.0
t1,39,00:00:01,647.0,79.0,24.0,20.0
t1,40,00:00:01,647.0,80.0,24.0,20.0
t1,41,00:00:01,648.0,82.0,24.0,20.0
t1,42,00:00:01,648.0,82.0,24.0,20.0
t1,43,00:00:01,650.0,83.0,24.0,20.0
t1,44,00:00:01,651.0,84.0,24.0,20.0
t1,45,00:00:01,653.0,86.0,24.0,20.0
t1,46,00:00:01,656.0,88.0,24.0,20.0
t1,47,00:00:01,657.0,88.0,24.0,20.0
t1,48,00:00:01,658.0,89.0,24.0,20.0
t1,49,00:00:01,661.0,91.0,24.0,20.0
t1,50,00:00:01,663.0,93.0,24.0,20.0
t1,51,00:00:01,665.0,94.0,24.0,20.0
