label,frame,time,x,y,xoffset,yoffset,distance_to_t2,interaction_with_t2,distance_to_t3,interaction_with_t3,distance_to_t4,interaction_with_t4
t1,1,00:00:00,588.5,90.5,17.0,17.0,242.8,no-interaction,251.8,no-interaction,314.6,no-interaction
t1,2,00:00:00,588.5,90.5,17.0,17.0,242.8,no-interaction,251.8,no-interaction,314.6,no-interaction
t1,3,00:00:00,592.5,91.5,17.0,17.0,246.9,no-interaction,253.0,no-interaction,317.3,no-interaction
t1,4,00:00:00,595.5,93.5,17.0,17.0,249.6,no-interaction,253.6,no-interaction,320.8,no-interaction
t1,5,00:00:00,600.5,94.5,17.0,17.0,253.7,no-interaction,256.6,no-interaction,324.3,no-interaction
t1,6,00:00:00,602.5,92.5,17.0,17.0,257.7,no-interaction,256.6,no-interaction,327.9,no-interaction
t1,7,00:00:00,604.5,92.5,17.0,17.0,260.9,no-interaction,256.9,no-interaction,330.7,no-interaction
t1,8,00:00:00,606.5,91.5,17.0,17.0,264.5,no-interaction,257.8,no-interaction,334.2,no-interaction
t1,9,00:00:00,609.5,91.5,17.0,17.0,267.2,no-interaction,259.0,no-interaction,339.9,no-interaction
t1,10,00:00:00,612.5,90.5,17.0,17.0,271.3,no-interaction,260.8,no-interaction,345.0,no-interaction
t1,11,00:00:00,612.5,88.5,17.0,17.0,273.0,no-interaction,260.4,no-interaction,347.4,no-interaction
t1,12,00:00:00,614.5,88.5,17.0,17.0,274.9,no-interaction,261.7,no-interaction,350.3,no-interaction
t1,13,00:00:00,617.5,87.5,17.0,17.0,278.0,no-interaction,263.4,no-interaction,353.9,no-interaction
t1,14,00:00:00,623.5,88.5,17.0,17.0,283.5,no-interaction,266.4,no-interaction,359.5,no-interaction
t1,15,00:00:00,624.5,86.5,17.0,17.0,286.5,no-interaction,267.7,no-interaction,362.6,no-interaction
t1,16,00:00:00,625.5,85.5,17.0,17.0,288.4,no-interaction,268.2,no-interaction,363.4,no-interaction
t1,17,00:00:00,627.5,85.5,17.0,17.0,290.6,no-interaction,269.5,no-interaction,365.5,no-interaction
t1,18,00:00:00,629.5,84.5,17.0,17.0,293.7,no-interaction,270.8,no-interaction,369.2,no-interaction
t1,19,00:00:00,631.5,83.5,17.0,17.0,296.9,no-interaction,271.2,no-interaction,378.0,no-interaction
t1,20,00:00:00,633.5,83.5,17.0,17.0,298.7,no-interaction,271.2,no-interaction,381.9,no-interaction
t1,21,00:00:00,636.5,83.5,17.0,17.0,301.5,no-interaction,273.1,no-interaction,383.4,no-interaction
t1,22,00:00:00,637.5,83.5,17.0,17.0,302.8,no-interaction,273.1,no-interaction,385.9,no-interaction
t1,23,00:00:00,638.5,82.5,17.0,17.0,305.4,no-interaction,271.8,no-interaction,388.4,no-interaction
t1,24,00:00:00,638.5,82.5,17.0,17.0,306.3,no-interaction,270.0,no-interaction,393.5,no-interaction
t1,25,00:00:00,639.5,83.5,17.0,17.0,305.9,no-interaction,268.4,no-interaction,392.3,no-interaction
