label,frame,time,x,y,xoffset,yoffset,distance_to_t1,distance_to_t2,distance_to_t4
t3,1,00:00:00,375.0,224.0,16.0,20.0,251.8,24.7,97.5
t3,2,00:00:00,375.0,224.0,16.0,20.0,251.8,24.7,97.5
t3,3,00:00:00,377.0,224.0,16.0,20.0,253.0,25.3,99.5
t3,4,00:00:00,378.0,224.0,16.0,20.0,253.6,25.9,102.5
t3,5,00:00:00,379.0,224.0,16.0,20.0,256.6,26.3,104.5
t3,6,00:00:00,381.0,222.0,16.0,20.0,256.6,24.9,108.6
t3,7,00:00:00,382.0,221.0,16.0,20.0,256.9,26.5,111.6
t3,8,00:00:00,383.0,220.0,16.0,20.0,257.8,26.2,114.7
t3,9,00:00:00,384.0,219.0,16.0,20.0,259.0,26.2,120.7
t3,10,00:00:00,385.0,218.0,16.0,20.0,260.8,27.0,125.7
t3,11,00:00:00,386.0,217.0,16.0,20.0,260.4,27.9,130.6
t3,12,00:00:00,386.0,216.0,16.0,20.0,261.7,27.3,134.6
t3,13,00:00:00,387.0,215.0,16.0,20.0,263.4,27.6,137.6
t3,14,00:00:00,388.0,213.0,16.0,20.0,266.4,27.1,144.5
t3,15,00:00:00,388.0,212.0,16.0,20.0,267.7,27.2,148.5
t3,16,00:00:00,388.0,210.0,16.0,20.0,268.2,27.8,150.5
t3,17,00:00:00,388.0,209.0,16.0,20.0,269.5,27.3,153.5
t3,18,00:00:00,388.0,207.0,16.0,20.0,270.8,27.9,158.5
t3,19,00:00:00,389.0,205.0,16.0,20.0,271.2,29.6,168.5
t3,20,00:00:00,390.0,203.0,16.0,20.0,271.2,30.5,175.5
t3,21,00:00:00,390.0,201.0,16.0,20.0,273.1,30.5,179.5
t3,22,00:00:00,390.0,199.0,16.0,20.0,273.1,30.8,185.6
t3,23,00:00:00,392.0,197.0,16.0,20.0,271.8,34.3,190.6
t3,24,00:00:00,393.0,195.0,16.0,20.0,270.0,36.7,200.6
t3,25,00:00:00,394.0,192.0,16.0,20.0,268.4,37.6,204.7
t3,26,00:00:00,395.0,189.0,16.0,20.0,268.1,41.0,211.0
t3,27,00:00:00,398.0,187.0,16.0,20.0,265.9,44.9,215.8
t3,28,00:00:00,400.0,184.0,16.0,20.0,263.8,47.6,222.9
t3,29,00:00:00,401.0,183.0,16.0,20.0,264.9,49.4,226.0
t3,30,00:00:01,403.0,179.0,16.0,20.0,262.1,52.7,230.9
t3,31,00:00:01,406.0,177.0,16.0,20.0,260.5,56.8,237.0
t3,32,00:00:01,409.0,175.0,16.0,20.0,257.9,60.4,243.1
t3,33,00:00:01,414.0,174.0,16.0,20.0,252.9,65.2,249.8
t3,34,00:00:01,416.0,172.0,16.0,20.0,250.9,69.3,256.9
t3,35,00:00:01,419.0,172.0,16.0,20.0,248.7,72.4,258.9
