,frame,label,time,x,xoffset,y,yoffset
0,1,t1,00:00:00,582.0,19.0,81.0,23.0
1,2,t1,00:00:00,582.0,19.0,81.0,23.0
2,3,t1,00:00:00,586.0,19.0,82.0,23.0
3,4,t1,00:00:00,589.0,19.0,84.0,23.0
4,5,t1,00:00:00,592.0,19.0,85.0,23.0
5,6,t1,00:00:00,595.0,19.0,83.0,23.0
6,7,t1,00:00:00,597.0,19.0,83.0,23.0
7,8,t1,00:00:00,599.0,19.0,82.0,23.0
8,9,t1,00:00:00,601.0,19.0,82.0,23.0
9,10,t1,00:00:00,604.0,19.0,81.0,23.0
10,11,t1,00:00:00,606.0,19.0,79.0,23.0
11,12,t1,00:00:00,608.0,19.0,79.0,23.0
12,13,t1,00:00:00,611.0,19.0,78.0,23.0
13,14,t1,00:00:00,615.0,19.0,78.0,23.0
14,15,t1,00:00:00,616.0,19.0,78.0,23.0
15,16,t1,00:00:00,619.0,19.0,77.0,23.0
16,17,t1,00:00:00,619.0,19.0,75.0,23.0
17,18,t1,00:00:00,621.0,19.0,74.0,23.0
18,19,t1,00:00:00,623.0,19.0,75.0,23.0
19,20,t1,00:00:00,624.0,19.0,73.0,23.0
20,21,t1,00:00:00,628.0,19.0,73.0,23.0
21,22,t1,00:00:00,630.0,19.0,73.0,23.0
22,23,t1,00:00:00,631.0,19.0,72.0,23.0
23,24,t1,00:00:00,631.0,19.0,74.0,23.0
24,25,t1,00:00:00,632.0,19.0,75.0,23.0
25,26,t1,00:00:00,634.0,19.0,73.0,23.0
26,27,t1,00:00:00,635.0,19.0,72.0,23.0
27,28,t1,00:00:00,636.0,19.0,73.0,23.0
28,29,t1,00:00:00,638.0,19.0,74.0,23.0
29,30,t1,00:00:01,640.0,19.0,75.0,23.0
30,31,t1,00:00:01,641.0,19.0,75.0,23.0
31,32,t1,00:00:01,642.0,19.0,75.0,23.0
32,33,t1,00:00:01,643.0,19.0,75.0,23.0
33,34,t1,00:00:01,643.0,19.0,76.0,23.0
34,35,t1,00:00:01,644.0,19.0,77.0,23.0
35,36,t1,00:00:01,645.0,19.0,77.0,23.0
36,37,t1,00:00:01,646.0,19.0,77.0,23.0
37,38,t1,00:00:01,648.0,19.0,77.0,23.0
38,39,t1,00:00:01,649.0,19.0,78.0,23.0
39,40,t1,00:00:01,649.0,19.0,80.0,23.0
40,41,t1,00:00:01,649.0,19.0,82.0,23.0
41,42,t1,00:00:01,650.0,19.0,82.0,23.0
42,43,t1,00:00:01,652.0,19.0,83.0,23.0
43,44,t1,00:00:01,653.0,19.0,83.0,23.0
44,45,t1,00:00:01,655.0,19.0,85.0,23.0
45,46,t1,00:00:01,657.0,19.0,87.0,23.0
46,47,t1,00:00:01,659.0,19.0,88.0,23.0
47,48,t1,00:00:01,660.0,19.0,89.0,23.0
48,49,t1,00:00:01,663.0,19.0,91.0,23.0
49,50,t1,00:00:01,664.0,19.0,92.0,23.0
50,51,t1,00:00:01,667.0,19.0,94.0,23.0
51,52,t1,00:00:01,668.0,19.0,95.0,23.0
52,53,t1,00:00:01,671.0,19.0,94.0,23.0
53,54,t1,00:00:01,673.0,19.0,96.0,23.0
54,55,t1,00:00:01,677.0,19.0,98.0,23.0
55,56,t1,00:00:01,679.0,19.0,99.0,23.0
56,57,t1,00:00:01,681.0,19.0,100.0,23.0
57,58,t1,00:00:01,683.0,19.0,103.0,23.0
58,59,t1,00:00:01,685.0,19.0,103.0,23.0
59,60,t1,00:00:02,687.0,19.0,104.0,23.0
60,61,t1,00:00:02,689.0,19.0,107.0,23.0
61,62,t1,00:00:02,691.0,19.0,108.0,23.0
62,63,t1,00:00:02,694.0,19.0,111.0,23.0
63,64,t1,00:00:02,697.0,19.0,114.0,23.0
64,65,t1,00:00:02,698.0,19.0,117.0,23.0
65,66,t1,00:00:02,701.0,19.0,118.0,23.0
66,67,t1,00:00:02,703.0,19.0,121.0,23.0
67,68,t1,00:00:02,706.0,19.0,122.0,23.0
68,69,t1,00:00:02,709.0,19.0,125.0,23.0
69,70,t1,00:00:02,711.0,19.0,126.0,23.0
70,71,t1,00:00:02,714.0,19.0,131.0,23.0
71,72,t1,00:00:02,717.0,19.0,132.0,23.0
72,73,t1,00:00:02,718.0,19.0,135.0,23.0
73,74,t1,00:00:02,721.0,19.0,136.0,23.0
74,75,t1,00:00:02,723.0,19.0,139.0,23.0
75,76,t1,00:00:02,725.0,19.0,141.0,23.0
76,77,t1,00:00:02,726.0,19.0,144.0,23.0
77,78,t1,00:00:02,729.0,19.0,150.0,23.0
78,79,t1,00:00:02,730.0,19.0,153.0,23.0
79,80,t1,00:00:02,732.0,19.0,154.0,23.0
80,81,t1,00:00:02,734.0,19.0,157.0,23.0
81,82,t1,00:00:02,736.0,19.0,159.0,23.0
82,83,t1,00:00:02,739.0,19.0,162.0,23.0
83,84,t1,00:00:02,739.0,19.0,165.0,23.0
84,85,t1,00:00:02,740.0,19.0,170.0,23.0
85,86,t1,00:00:02,742.0,19.0,174.0,23.0
86,87,t1,00:00:02,743.0,19.0,176.0,23.0
87,88,t1,00:00:02,744.0,19.0,179.0,23.0
88,89,t1,00:00:02,745.0,19.0,182.0,23.0
89,90,t1,00:00:03,746.0,19.0,187.0,23.0
90,91,t1,00:00:03,746.0,19.0,191.0,23.0
91,92,t1,00:00:03,746.0,19.0,194.0,23.0
92,93,t1,00:00:03,747.0,19.0,198.0,23.0
93,94,t1,00:00:03,747.0,19.0,201.0,23.0
94,95,t1,00:00:03,748.0,19.0,204.0,23.0
95,96,t1,00:00:03,748.0,19.0,210.0,23.0
96,97,t1,00:00:03,748.0,19.0,213.0,23.0
97,98,t1,00:00:03,747.0,19.0,216.0,23.0
98,99,t1,00:00:03,747.0,19.0,219.0,23.0
99,100,t1,00:00:03,748.0,19.0,222.0,23.0
100,101,t1,00:00:03,751.0,19.0,226.0,23.0
101,102,t1,00:00:03,751.0,19.0,230.0,23.0
102,103,t1,00:00:03,752.0,19.0,232.0,23.0
103,104,t1,00:00:03,754.0,19.0,235.0,23.0
104,105,t1,00:00:03,753.0,19.0,238.0,23.0
105,106,t1,00:00:03,753.0,19.0,242.0,23.0
106,107,t1,00:00:03,754.0,19.0,246.0,23.0
107,108,t1,00:00:03,756.0,19.0,251.0,23.0
108,109,t1,00:00:03,754.0,19.0,253.0,23.0
109,110,t1,00:00:03,753.0,19.0,254.0,23.0
110,111,t1,00:00:03,752.0,19.0,257.0,23.0
111,112,t1,00:00:03,752.0,19.0,258.0,23.0
112,113,t1,00:00:03,752.0,19.0,261.0,23.0
113,114,t1,00:00:03,753.0,19.0,265.0,23.0
114,115,t1,00:00:03,752.0,19.0,268.0,23.0
115,116,t1,00:00:03,751.0,19.0,273.0,23.0
116,117,t1,00:00:03,749.0,19.0,275.0,23.0
117,118,t1,00:00:03,749.0,19.0,279.0,23.0
118,119,t1,00:00:03,749.0,19.0,283.0,23.0
119,120,t1,00:00:04,751.0,19.0,287.0,23.0
120,121,t1,00:00:04,750.0,19.0,290.0,23.0
121,122,t1,00:00:04,752.0,19.0,293.0,23.0
122,123,t1,00:00:04,751.0,19.0,297.0,23.0
123,124,t1,00:00:04,750.0,19.0,303.0,23.0
124,125,t1,00:00:04,752.0,19.0,305.0,23.0
125,126,t1,00:00:04,752.0,19.0,307.0,23.0
126,127,t1,00:00:04,753.0,19.0,311.0,23.0
127,128,t1,00:00:04,752.0,19.0,315.0,23.0
128,129,t1,00:00:04,750.0,19.0,319.0,23.0
129,130,t1,00:00:04,749.0,19.0,322.0,23.0
130,131,t1,00:00:04,748.0,19.0,326.0,23.0
131,132,t1,00:00:04,749.0,19.0,329.0,23.0
132,133,t1,00:00:04,749.0,19.0,333.0,23.0
133,134,t1,00:00:04,748.0,19.0,336.0,23.0
134,135,t1,00:00:04,748.0,19.0,340.0,23.0
135,136,t1,00:00:04,745.0,19.0,345.0,23.0
136,137,t1,00:00:04,745.0,19.0,345.0,23.0
137,138,t1,00:00:04,745.0,19.0,345.0,23.0
138,139,t1,00:00:04,745.0,19.0,346.0,23.0
139,140,t1,00:00:04,745.0,19.0,348.0,23.0
140,141,t1,00:00:04,746.0,19.0,348.0,23.0
141,142,t1,00:00:04,747.0,19.0,349.0,23.0
142,143,t1,00:00:04,746.0,19.0,348.0,23.0
143,144,t1,00:00:04,747.0,19.0,349.0,23.0
144,145,t1,00:00:04,747.0,19.0,349.0,23.0
145,146,t1,00:00:04,746.0,19.0,350.0,23.0
146,147,t1,00:00:04,747.0,19.0,351.0,23.0
147,148,t1,00:00:04,746.0,19.0,353.0,23.0
148,149,t1,00:00:04,748.0,19.0,354.0,23.0
149,150,t1,00:00:05,748.0,19.0,356.0,23.0
150,151,t1,00:00:05,746.0,19.0,358.0,23.0
151,152,t1,00:00:05,746.0,19.0,359.0,23.0
152,153,t1,00:00:05,745.0,19.0,359.0,23.0
153,154,t1,00:00:05,743.0,19.0,363.0,23.0
154,155,t1,00:00:05,742.0,19.0,363.0,23.0
155,156,t1,00:00:05,742.0,19.0,365.0,23.0
156,157,t1,00:00:05,742.0,19.0,367.0,23.0
157,158,t1,00:00:05,741.0,19.0,369.0,23.0
158,159,t1,00:00:05,739.0,19.0,371.0,23.0
159,160,t1,00:00:05,738.0,19.0,372.0,23.0
160,161,t1,00:00:05,738.0,19.0,374.0,23.0
161,162,t1,00:00:05,736.0,19.0,376.0,23.0
162,163,t1,00:00:05,735.0,19.0,377.0,23.0
163,164,t1,00:00:05,733.0,19.0,378.0,23.0
164,165,t1,00:00:05,731.0,19.0,380.0,23.0
165,166,t1,00:00:05,730.0,19.0,381.0,23.0
166,167,t1,00:00:05,730.0,19.0,383.0,23.0
167,168,t1,00:00:05,728.0,19.0,386.0,23.0
168,169,t1,00:00:05,727.0,19.0,388.0,23.0
169,170,t1,00:00:05,725.0,19.0,390.0,23.0
170,171,t1,00:00:05,722.0,19.0,392.0,23.0
171,172,t1,00:00:05,721.0,19.0,394.0,23.0
172,173,t1,00:00:05,719.0,19.0,396.0,23.0
173,174,t1,00:00:05,718.0,19.0,397.0,23.0
174,175,t1,00:00:05,716.0,19.0,400.0,23.0
175,176,t1,00:00:05,713.0,19.0,404.0,23.0
176,177,t1,00:00:05,711.0,19.0,406.0,23.0
177,178,t1,00:00:05,708.0,19.0,408.0,23.0
178,179,t1,00:00:05,707.0,19.0,410.0,23.0
179,180,t1,00:00:06,704.0,19.0,412.0,23.0
